host_ts_ms,packet_number,time_offset_us,n_channels,ch0_type,ch0_status,ch0_value,ch1_type,ch1_status,ch1_value,ch2_type,ch2_status,ch2_value,ch3_type,ch3_status,ch3_value,ch4_type,ch4_status,ch4_value,ch5_type,ch5_status,ch5_value,ch6_type,ch6_status,ch6_value,ch7_type,ch7_status,ch7_value
1770054008341,19,500,5,0,0,4.85075,0,0,-0.00048852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008341,20,500,5,0,0,4.77594,0,0,-0.000509977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008342,21,500,5,0,0,4.82582,0,0,-0.000504255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008342,22,500,5,0,0,4.77594,0,0,-0.000472307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008343,23,500,5,0,0,4.81646,0,0,-0.000509501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008343,24,500,5,0,0,4.77594,0,0,-0.000500679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008344,25,500,5,0,0,4.79776,0,0,-0.000485182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008344,26,500,5,0,0,4.78217,0,0,-0.000500679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008345,27,500,5,0,0,4.88816,0,0,-0.000496626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008345,28,501,5,0,0,4.82582,0,0,-0.000475645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008346,29,500,5,0,0,4.93804,0,0,-0.000509501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008346,30,501,5,0,0,4.88193,0,0,-0.000500679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008347,31,500,5,0,0,4.87257,0,0,-0.000489235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008347,32,500,5,0,0,4.76347,0,0,-0.000504971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008348,33,500,5,0,0,4.76035,0,0,-0.00049901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008348,34,500,5,0,0,4.92557,0,0,-0.00047493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008349,35,500,5,0,0,4.93804,0,0,-0.000506163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008349,36,500,5,0,0,4.9318,0,0,-0.000496626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008350,37,500,5,0,0,4.88816,0,0,-0.000489235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008350,38,500,5,0,0,4.89128,0,0,-0.000499249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008351,39,500,5,0,0,4.83828,0,0,-0.000504971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008351,40,500,5,0,0,4.98168,0,0,-0.000474215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008352,41,500,5,0,0,4.82582,0,0,-0.000510454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008352,42,500,5,0,0,4.82582,0,0,-0.000499964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008352,43,501,5,0,0,4.68554,0,0,-0.000496387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008352,44,500,5,0,0,4.81646,0,0,-0.00050211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008353,45,501,5,0,0,4.88193,0,0,-0.000499964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008353,46,500,5,0,0,4.88193,0,0,-0.000492811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008354,47,500,5,0,0,4.85075,0,0,-0.000510454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008354,48,500,5,0,0,4.88816,0,0,-0.000487089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008355,49,500,5,0,0,4.92869,0,0,-0.000504732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008355,50,500,5,0,0,4.7697,0,0,-0.00050211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008356,51,500,5,0,0,4.82582,0,0,-0.000474691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008356,52,500,5,0,0,4.76035,0,0,-0.00050211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008357,53,500,5,0,0,4.90998,0,0,-0.000508547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008357,54,500,5,0,0,4.85387,0,0,-0.000485659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008359,55,500,5,0,0,4.86946,0,0,-0.000513554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008359,56,500,5,0,0,4.86322,0,0,-0.000500441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008360,57,500,5,0,0,4.77594,0,0,-0.000483513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008360,58,501,5,0,0,4.81958,0,0,-0.00050354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008361,59,500,5,0,0,4.67619,0,0,-0.000506639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008361,60,501,5,0,0,4.78841,0,0,-0.000483274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008362,61,500,5,0,0,4.82582,0,0,-0.000507832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008362,62,500,5,0,0,4.93804,0,0,-0.000500917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008363,63,500,5,0,0,4.80088,0,0,-0.000476122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008363,0,500,5,0,0,4.78841,0,0,-0.000508547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
